id,eui,timestamp,data,humidity,batt,temperature
53318,3430363071377D14,2018/5/17 02:47:03,00cf001044,68,94,1.6
53329,3430363071377D14,2018/5/17 02:50:03,00cf000e44,68,94,1.4
53342,3430363071377D14,2018/5/17 02:53:03,00cf000d44,68,94,1.3
53353,3430363071377D14,2018/5/17 02:56:03,00cf000c43,67,94,1.2
53364,3430363071377D14,2018/5/17 02:59:03,00cf000e49,73,94,1.4
53376,3430363071377D14,2018/5/17 03:02:03,00cf001450,80,94,2
53391,3430363071377D14,2018/5/17 03:05:03,00cf001854,84,94,2.4
53403,3430363071377D14,2018/5/17 03:08:03,00cf001c57,87,94,2.8
53415,3430363071377D14,2018/5/17 03:11:03,00cf001e5a,90,94,3
53429,3430363071377D14,2018/5/17 03:14:03,00cf00215b,91,94,3.3
53440,3430363071377D14,2018/5/17 03:17:03,00ce00235c,92,92,3.5
53453,3430363071377D14,2018/5/17 03:20:03,00cf00255d,93,94,3.7
53466,3430363071377D14,2018/5/17 03:23:03,00cf00275d,93,94,3.9
53477,3430363071377D14,2018/5/17 03:26:03,00cf00275e,94,94,3.9
53490,3430363071377D14,2018/5/17 03:29:03,00cf00295e,94,94,4.1
53506,3430363071377D14,2018/5/17 03:32:03,00cf002a5f,95,94,4.2
53513,3430363071377D14,2018/5/17 03:35:03,00cf002b5f,95,94,4.3
53526,3430363071377D14,2018/5/17 03:38:03,00cf002d5f,95,94,4.5
53539,3430363071377D14,2018/5/17 03:41:03,00cf002e5f,95,94,4.6
53549,3430363071377D14,2018/5/17 03:44:03,00cf002f5f,95,94,4.7
53563,3430363071377D14,2018/5/17 03:47:03,00cf00305f,95,94,4.8
53575,3430363071377D14,2018/5/17 03:50:03,00cf00315f,95,94,4.9
53586,3430363071377D14,2018/5/17 03:53:03,00cf00325f,95,94,5
53598,3430363071377D14,2018/5/17 03:56:03,00cf002c5c,92,94,4.4
53611,3430363071377D14,2018/5/17 03:59:03,00d0002758,88,96,3.9
53625,3430363071377D14,2018/5/17 04:02:03,00d0002252,82,96,3.4
53635,3430363071377D14,2018/5/17 04:05:03,00cf001f4e,78,94,3.1
53648,3430363071377D14,2018/5/17 04:08:03,00cf001c4a,74,94,2.8
53660,3430363071377D14,2018/5/17 04:11:03,00cf001948,72,94,2.5
53672,3430363071377D14,2018/5/17 04:14:03,00cf001747,71,94,2.3
53685,3430363071377D14,2018/5/17 04:17:03,00cf001546,70,94,2.1
53696,3430363071377D14,2018/5/17 04:20:03,00cf001345,69,94,1.9
53711,3430363071377D14,2018/5/17 04:23:03,00cf001144,68,94,1.7
53721,3430363071377D14,2018/5/17 04:26:03,00cf001044,68,94,1.6
53734,3430363071377D14,2018/5/17 04:29:03,00cf000e44,68,94,1.4
53747,3430363071377D14,2018/5/17 04:32:03,00cf000d43,67,94,1.3
53759,3430363071377D14,2018/5/17 04:35:03,00cf000c43,67,94,1.2
53771,3430363071377D14,2018/5/17 04:38:03,00cf00114c,76,94,1.7
53782,3430363071377D14,2018/5/17 04:41:03,00cf001651,81,94,2.2
53795,3430363071377D14,2018/5/17 04:44:03,00cf001a55,85,94,2.6
53807,3430363071377D14,2018/5/17 04:47:03,00cf001d58,88,94,2.9
53821,3430363071377D14,2018/5/17 04:50:03,00cf001f5a,90,94,3.1
53834,3430363071377D14,2018/5/17 04:53:03,00cf00215b,91,94,3.3
53847,3430363071377D14,2018/5/17 04:56:03,00cf00235c,92,94,3.5
53863,3430363071377D14,2018/5/17 04:59:03,00cf00255d,93,94,3.7
53872,3430363071377D14,2018/5/17 05:02:03,00cf00275d,93,94,3.9
53885,3430363071377D14,2018/5/17 05:05:03,00cf00275e,94,94,3.9
53898,3430363071377D14,2018/5/17 05:08:03,00cf00295e,94,94,4.1
53911,3430363071377D14,2018/5/17 05:11:03,00cf002a5e,94,94,4.2
53924,3430363071377D14,2018/5/17 05:14:03,00cf002c5f,95,94,4.4
